ภูมิภาคอย่างเป็นทางการ,All,,,
กรุงเทพปริมณฑลต่างจังหวัด,All,,,
,,,,
ProvinceThai,DistrictThaiShort,Distinct Count of PostCode,All Post Code,
,ปะคำ,1,31220,
,พลับพลาชัย,1,31250,
,พุทไธสง,1,31120,
,เมืองบุรีรัมย์,1,31000,
,ละหานทราย,1,31170,
,ลำปลายมาศ,1,31130,
,สตึก,1,31150,
,หนองกี่,1,31210,
,หนองหงส์,1,31240,
,ห้วยราช,1,31000,
บุรีรัมย์ Total,,16,31000/31110/31120/31130/31140/31150/31160/31170/31180/31190/31210/31220/31230/31240/31250/31260,
ปทุมธานี,คลองหลวง,4,12110/12120/12121/13180,
,ธัญบุรี,2,12110/12130,
,เมืองปทุมธานี,1,12000,
,ลาดหลุมแก้ว,1,12140,
,ลำลูกกา,2,12130/12150,
,สามโคก,1,12160,
,หนองเสือ,1,12170,
ปทุมธานี Total,,10,12000/12110/12120/12121/12130/12140/12150/12160/12170/13180,
ประจวบคีรีขันธ์,กุยบุรี,1,77150,
,ทับสะแก,1,77130,
,บางสะพาน,3,77140/77190/77230,
,บางสะพานน้อย,1,77170,
,ปราณบุรี,3,77120/77160/77220,
,เมืองประจวบคีรีขันธ์,2,77000/77210,
,สามร้อยยอด,2,77120/77180,
,หัวหิน,1,77110,
ประจวบคีรีขันธ์ Total,,13,77000/77110/77120/77130/77140/77150/77160/77170/77180/77190/77210/77220/77230,
ปราจีนบุรี,กบินทร์บุรี,2,25110/25240,
,นาดี,1,25220,
,บ้านสร้าง,1,25150,
,ประจันตคาม,1,25130,
,เมืองปราจีนบุรี,2,25000/25230,
,ศรีมหาโพธิ,1,25140,
,ศรีมโหสถ,1,25190,
ปราจีนบุรี Total,,9,25000/25110/25130/25140/25150/25190/25220/25230/25240,
ปัตตานี,กะพ้อ,1,94230,
,โคกโพธิ์,2,94120/94180,
,ทุ่งยางแดง,1,94140,
,ปะนาเระ,2,94130/94190,
,มายอ,2,94140/94190,
,เมืองปัตตานี,1,94000,
,แม่ลาน,1,94180,
,ไม้แก่น,1,94220,
,ยะรัง,1,94160,
,ยะหริ่ง,2,94150/94190,
,สายบุรี,2,94110/94190,
,หนองจิก,1,94170,
ปัตตานี Total,,12,94000/94110/94120/94130/94140/94150/94160/94170/94180/94190/94220/94230,
พระนครศรีอยุธยา,ท่าเรือ,2,13130/18270,
,นครหลวง,1,13260,
,บางซ้าย,1,13270,
,บางไทร,2,13190/13290,
,บางบาล,1,13250,
,บางปะหัน,1,13220,
,บางปะอิน,3,13160/13170/13180,
,บ้านแพรก,1,13240,
,ผักไห่,2,13120/13280,
,พระนครศรีอยุธยา,1,13000,
,ภาชี,2,13140/18250,
,มหาราช,1,13150,
,ลาดบัวหลวง,1,13230,
,วังน้อย,2,13170/13180,
,เสนา,1,13110,
,อุทัย,2,13000/13210,
พระนครศรีอยุธยา Total,,21,13000/13110/13120/13130/13140/13150/13160/13170/13180/13190/13210/13220/13230/13240/13250/13260/13270/13280/13290/18250/18270,
พะเยา,จุน,1,56150,
,เชียงคำ,1,56110,
,เชียงม่วน,1,56160,
,ดอกคำใต้,1,56120,
,ปง,1,56140,
,ภูกามยาว,1,56000,
,ภูซาง,1,56110,
,เมืองพะเยา,1,56000,
,แม่ใจ,1,56130,
พะเยา Total,,7,56000/56110/56120/56130/56140/56150/56160,
พังงา,กะปง,1,82170,
,เกาะยาว,2,82160/83000,
,คุระบุรี,1,82150,
,ตะกั่วทุ่ง,2,82130/82140,
,ตะกั่วป่า,2,82110/82190,
,ทับปุด,1,82180,
,ท้ายเหมือง,2,82120/82210,
,เมืองพังงา,1,82000,
พังงา Total,,12,82000/82110/82120/82130/82140/82150/82160/82170/82180/82190/82210/83000,
พัทลุง,กงหรา,2,93000/93180,
,เขาชัยสน,1,93130,
,ควนขนุน,2,93110/93150,
,ตะโหมด,1,93160,
,บางแก้ว,2,93140/93160,
,ปากพะยูน,1,93120,
,ป่าบอน,1,93170,
,ป่าพะยอม,1,93210,
,เมืองพัทลุง,1,93000,
,ศรีนครินทร์,1,93000,
,ศรีบรรพต,1,93190,
พัทลุง Total,,11,93000/93110/93120/93130/93140/93150/93160/93170/93180/93190/93210,
